Designator,Mid X,Mid Y,Rotation,Layer
D1,-80.0,-7.0,180.0,top
D10,-60.0,-47.0,180.0,top
D11,-40.0,-47.0,180.0,top
D12,-20.0,-47.0,180.0,top
D13,-80.0,-67.0,180.0,top
D14,-60.0,-67.0,180.0,top
D15,-40.0,-67.0,180.0,top
D16,-20.0,-67.0,180.0,top
D2,-60.0,-7.0,180.0,top
D3,-40.0,-7.0,180.0,top
D4,-20.0,-7.0,180.0,top
D5,-80.0,-27.0,180.0,top
D6,-60.0,-27.0,180.0,top
D7,-40.0,-27.0,180.0,top
D8,-20.0,-27.0,180.0,top
D9,-80.0,-47.0,180.0,top
J1,-86.6,-6.7,0.0,top
J2,-86.6,-26.7,0.0,top
J3,-86.6,-46.7,0.0,top
J4,-86.6,-66.7,0.0,top
